connect() error  [ErrorCode:10035] [Line:287]
start X:1 startY:9 endX:72 endY:94   [ErrorCode:183] [Line:428]
start X:1 startY:9 endX:97 endY:96   [ErrorCode:0] [Line:428]
start X:1 startY:9 endX:22 endY:12   [ErrorCode:0] [Line:428]
start X:1 startY:9 endX:26 endY:99   [ErrorCode:0] [Line:428]
start X:1 startY:9 endX:74 endY:41   [ErrorCode:0] [Line:428]
start X:1 startY:9 endX:23 endY:4   [ErrorCode:0] [Line:428]
start X:1 startY:9 endX:83 endY:62   [ErrorCode:0] [Line:428]
start X:1 startY:9 endX:81 endY:29   [ErrorCode:0] [Line:428]
start X:72 startY:94 endX:4 endY:50   [ErrorCode:0] [Line:428]
start X:97 startY:96 endX:59 endY:60   [ErrorCode:0] [Line:428]
start X:97 startY:96 endX:63 endY:16   [ErrorCode:0] [Line:428]
start X:22 startY:12 endX:47 endY:7   [ErrorCode:0] [Line:428]
start X:22 startY:12 endX:90 endY:57   [ErrorCode:0] [Line:428]
start X:26 startY:99 endX:51 endY:53   [ErrorCode:0] [Line:428]
start X:26 startY:99 endX:55 endY:49   [ErrorCode:0] [Line:428]
start X:74 startY:41 endX:79 endY:34   [ErrorCode:0] [Line:428]
start X:74 startY:41 endX:68 endY:92   [ErrorCode:0] [Line:428]
start X:23 startY:4 endX:1 endY:57   [ErrorCode:0] [Line:428]
start X:23 startY:4 endX:78 endY:1   [ErrorCode:0] [Line:428]
start X:83 startY:62 endX:39 endY:65   [ErrorCode:0] [Line:428]
start X:83 startY:62 endX:53 endY:83   [ErrorCode:0] [Line:428]
start X:81 startY:29 endX:32 endY:23   [ErrorCode:0] [Line:428]
start X:81 startY:29 endX:39 endY:87   [ErrorCode:0] [Line:428]
start X:4 startY:50 endX:14 endY:91   [ErrorCode:0] [Line:428]
start X:4 startY:50 endX:72 endY:5   [ErrorCode:0] [Line:428]
start X:59 startY:60 endX:4 endY:13   [ErrorCode:0] [Line:428]
start X:59 startY:60 endX:47 endY:50   [ErrorCode:0] [Line:428]
start X:63 startY:16 endX:44 endY:64   [ErrorCode:0] [Line:428]
start X:63 startY:16 endX:34 endY:8   [ErrorCode:0] [Line:428]
start X:47 startY:7 endX:29 endY:27   [ErrorCode:0] [Line:428]
start X:47 startY:7 endX:15 endY:99   [ErrorCode:0] [Line:428]
start X:90 startY:57 endX:20 endY:16   [ErrorCode:0] [Line:428]
start X:90 startY:57 endX:41 endY:57   [ErrorCode:0] [Line:428]
start X:51 startY:53 endX:88 endY:31   [ErrorCode:0] [Line:428]
start X:51 startY:53 endX:14 endY:25   [ErrorCode:0] [Line:428]
start X:55 startY:49 endX:49 endY:65   [ErrorCode:0] [Line:428]
start X:55 startY:49 endX:64 endY:22   [ErrorCode:0] [Line:428]
start X:79 startY:34 endX:34 endY:64   [ErrorCode:0] [Line:428]
start X:79 startY:34 endX:61 endY:16   [ErrorCode:0] [Line:428]
start X:68 startY:92 endX:65 endY:27   [ErrorCode:0] [Line:428]
start X:68 startY:92 endX:98 endY:69   [ErrorCode:0] [Line:428]
start X:1 startY:57 endX:63 endY:94   [ErrorCode:0] [Line:428]
start X:1 startY:57 endX:29 endY:42   [ErrorCode:0] [Line:428]
start X:78 startY:1 endX:95 endY:23   [ErrorCode:0] [Line:428]
start X:39 startY:65 endX:6 endY:80   [ErrorCode:0] [Line:428]
start X:53 startY:83 endX:80 endY:61   [ErrorCode:0] [Line:428]
start X:53 startY:83 endX:33 endY:95   [ErrorCode:0] [Line:428]
start X:32 startY:23 endX:95 endY:74   [ErrorCode:0] [Line:428]
start X:32 startY:23 endX:34 endY:71   [ErrorCode:0] [Line:428]
start X:39 startY:87 endX:33 endY:17   [ErrorCode:0] [Line:428]
start X:39 startY:87 endX:92 endY:24   [ErrorCode:0] [Line:428]
start X:14 startY:91 endX:29 endY:97   [ErrorCode:0] [Line:428]
start X:14 startY:91 endX:70 endY:64   [ErrorCode:0] [Line:428]
start X:72 startY:5 endX:93 endY:91   [ErrorCode:0] [Line:428]
start X:72 startY:5 endX:79 endY:47   [ErrorCode:0] [Line:428]
start X:4 startY:13 endX:78 endY:32   [ErrorCode:0] [Line:428]
start X:4 startY:13 endX:62 endY:36   [ErrorCode:0] [Line:428]
start X:47 startY:50 endX:49 endY:23   [ErrorCode:0] [Line:428]
start X:47 startY:50 endX:70 endY:1   [ErrorCode:0] [Line:428]
start X:44 startY:64 endX:7 endY:95   [ErrorCode:0] [Line:428]
start X:44 startY:64 endX:26 endY:11   [ErrorCode:0] [Line:428]
start X:34 startY:8 endX:92 endY:88   [ErrorCode:0] [Line:428]
start X:34 startY:8 endX:55 endY:79   [ErrorCode:0] [Line:428]
start X:29 startY:27 endX:24 endY:98   [ErrorCode:0] [Line:428]
start X:29 startY:27 endX:60 endY:3   [ErrorCode:0] [Line:428]
start X:15 startY:99 endX:85 endY:59   [ErrorCode:0] [Line:428]
